Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,152534452,1953.9890048452173,5636612,72.2058376200716,721896,3198528,40.97361915122993,92815,1.1889739472411727,11711,
United States of America,Americas,32047478,9681.94,339033,102.43,45150,571302,172.6,4762,1.44,765,Community transmission
India,South-East Asia,19925604,1443.88,2612441,189.31,368147,218959,15.87,23836,1.73,3417,Clusters of cases
Brazil,Americas,14725975,6927.93,417760,196.54,66964,406437,191.21,16945,7.97,2656,Community transmission
France,Europe,5563694,8554.35,150705,231.71,9888,104107,160.07,1923,2.96,113,Community transmission
Turkey,Europe,4875388,5780.7,245419,290.99,25980,40844,48.43,2486,2.95,340,Community transmission
Russian Federation,Europe,4831744,3310.9,60372,41.37,8489,111198,76.2,2610,1.79,336,Clusters of cases
The United Kingdom,Europe,4420205,6511.22,15319,22.57,1671,127538,187.87,110,0.16,14,Community transmission
Italy,Europe,4044762,6781.79,82088,137.64,9145,121177,203.18,1939,3.25,144,Clusters of cases
Spain,Europe,3514942,7426.05,26112,55.17,0,78080,164.96,117,0.25,0,Community transmission
Germany,Europe,3425982,4119.42,126657,152.29,9160,83276,100.13,1652,1.99,84,Community transmission
Argentina,Americas,2993865,6624.21,147993,327.45,16502,64096,141.82,2622,5.8,231,Community transmission
Colombia,Americas,2877746,5655.63,120472,236.76,18022,74215,145.85,3329,6.54,495,Community transmission
Poland,Europe,2805756,7391.71,43433,114.42,2523,68105,179.42,2668,7.03,37,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2534855,3017.94,138651,165.07,18698,72484,86.3,2910,3.46,394,Community transmission
Mexico,Americas,2347780,1820.93,21042,16.32,3025,217168,168.44,2315,1.8,261,Community transmission
Ukraine,Europe,2085938,4769.63,55605,127.14,2758,44750,102.32,2232,5.1,154,Community transmission
Peru,Americas,1804915,5474.11,50765,153.96,5470,61789,187.4,2349,7.12,312,Community transmission
