"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"1","Global","",153094318,1961.16097153106,5657651,72.475350337585,650314,3206339,41.0736792223596,93322,1.19546869260831,9645,""
"2","United States of America","Americas",32083656,9692.87,340742,102.94,36178,571740,172.73,4898,1.48,438,"Community transmission"
"3","India","South-East Asia",20282833,1469.77,2646526,191.78,357229,222408,16.12,24514,1.78,3449,"Clusters of cases"
"4","Brazil","Americas",14754910,6941.55,414123,194.83,28935,407639,191.78,16842,7.92,1202,"Community transmission"
"5","France","Europe",5563694,8554.35,150705,231.71,9888,104107,160.07,1923,2.96,113,"Community transmission"
"6","Turkey","Europe",4875388,5780.7,245419,290.99,25980,40844,48.43,2486,2.95,340,"Community transmission"
"7","Russian Federation","Europe",4831744,3310.9,60372,41.37,8489,111198,76.2,2610,1.79,336,"Clusters of cases"
"8","The United Kingdom","Europe",4420205,6511.22,15319,22.57,1671,127538,187.87,110,0.16,14,"Community transmission"
"9","Italy","Europe",4044762,6781.79,82088,137.64,9145,121177,203.18,1939,3.25,144,"Clusters of cases"
"10","Spain","Europe",3514942,7426.05,26112,55.17,0,78080,164.96,117,0.25,0,"Community transmission"
"11","Germany","Europe",3425982,4119.42,126657,152.29,9160,83276,100.13,1652,1.99,84,"Community transmission"
"12","Argentina","Americas",3005259,6649.42,144375,319.44,11394,64252,142.16,2608,5.77,156,"Community transmission"
"13","Colombia","Americas",2893655,5686.89,119191,234.25,15909,74700,146.81,3349,6.58,485,"Community transmission"
"14","Poland","Europe",2805756,7391.71,43433,114.42,2523,68105,179.42,2668,7.03,37,"Community transmission"
"15","Iran (Islamic Republic of)","Eastern Mediterranean",2555587,3042.62,138357,164.72,20732,72875,86.76,2805,3.34,391,"Community transmission"
"16","Mexico","Americas",2348873,1821.78,20482,15.89,1093,217233,168.49,2286,1.77,65,"Community transmission"
"17","Ukraine","Europe",2085938,4769.63,55605,127.14,2758,44750,102.32,2232,5.1,154,"Community transmission"
"18","Peru","Americas",1810998,5492.56,49423,149.89,6083,62126,188.42,2402,7.29,337,"Community transmission"
"19","Indonesia","South-East Asia",1682004,614.94,34866,12.75,4730,45949,16.8,1178,0.43,153,"Community transmission"
"20","Czechia","Europe",1634619,15285.47,14413,134.78,505,29365,274.59,363,3.39,22,"Community transmission"
"21","South Africa","Africa",1584064,2670.88,8593,14.49,1222,54417,91.75,269,0.45,11,"Community transmission"
"22","Netherlands","Europe",1507615,8660.68,46673,268.12,5534,17172,98.65,123,0.71,3,"Community transmission"
"23","Canada","Americas",1234180,3270.03,55194,146.24,7145,24300,64.38,335,0.89,39,"Community transmission"
"24","Chile","Americas",1215815,6360.13,40201,210.3,4895,26659,139.46,684,3.58,98,"Community transmission"
"25","Iraq","Eastern Mediterranean",1079998,2685.06,42140,104.77,5068,15566,38.7,263,0.65,30,"Community transmission"
"26","Philippines","Western Pacific",1062225,969.35,55811,50.93,7255,17525,15.99,672,0.61,94,"Community transmission"
"27","Romania","Europe",1057655,5471.9,11391,58.93,1083,28282,146.32,888,4.59,88,"Community transmission"
"28","Belgium","Europe",995562,8640.2,18540,160.9,3,24291,210.81,229,1.99,7,"Community transmission"
"29","Sweden","Europe",973604,9427.21,25214,244.14,0,14048,136.02,14,0.14,0,"Community transmission"
"30","Israel","Europe",838576,9688.31,492,5.68,41,6366,73.55,14,0.16,1,"Community transmission"
"31","Portugal","Europe",837277,8132.13,2835,27.54,330,16977,164.89,12,0.12,1,"Clusters of cases"
"32","Pakistan","Eastern Mediterranean",834146,377.63,33694,15.25,4213,18149,8.22,962,0.44,79,"Community transmission"
"33","Hungary","Europe",784111,8026.09,12657,129.56,1219,27908,285.66,1107,11.33,106,"Community transmission"
"34","Bangladesh","South-East Asia",763682,463.71,15054,9.14,1739,11644,7.07,494,0.3,65,"Community transmission"
"35","Jordan","Eastern Mediterranean",714173,6999.55,9633,94.41,1272,8925,87.47,265,2.6,28,"Community transmission"
"36","Serbia","Europe",691920,9989.17,12253,176.9,989,6409,92.53,182,2.63,23,"Community transmission"
"37","Switzerland","Europe",656952,7590.77,7579,87.57,0,9971,115.21,28,0.32,0,"Community transmission"
"38","Austria","Europe",618346,6946.88,12836,144.21,1732,9989,112.22,157,1.76,11,"Community transmission"
"39","Japan","Western Pacific",607626,480.43,36586,28.93,4764,10419,8.24,415,0.33,58,"Clusters of cases"
"40","Lebanon","Eastern Mediterranean",528457,7742.45,6876,100.74,249,7345,107.61,174,2.55,21,"Community transmission"
"41","United Arab Emirates","Eastern Mediterranean",525567,5313.91,13070,132.15,1772,1596,16.14,23,0.23,3,"Clusters of cases"
"42","Morocco","Eastern Mediterranean",511912,1386.9,2447,6.63,56,9032,24.47,33,0.09,4,"Community transmission"
"43","Saudi Arabia","Eastern Mediterranean",420301,1207.28,7127,20.47,953,6992,20.08,79,0.23,13,"Community transmission"
"44","Malaysia","Western Pacific",417512,1289.97,21794,67.34,2500,1551,4.79,102,0.32,18,"Community transmission"
"45","Bulgaria","Europe",405194,5828.89,7694,110.68,348,16492,237.24,585,8.42,48,"Clusters of cases"
"46","Ecuador","Americas",388046,2199.43,13271,75.22,747,18765,106.36,465,2.64,25,"Community transmission"
"47","Slovakia","Europe",383228,7021.56,3218,58.96,130,11807,216.33,276,5.06,41,"Clusters of cases"
"48","Kazakhstan","Europe",381078,2029.53,17207,91.64,0,4542,24.19,197,1.05,0,"Clusters of cases"
"49","Panama","Americas",365104,8461.73,2137,49.53,260,6238,144.57,29,0.67,3,"Community transmission"
"50","Belarus","Europe",361063,3821.05,8113,85.86,1081,2562,27.11,69,0.73,10,"Community transmission"
"51","Greece","Europe",346422,3231.98,13293,124.02,0,10453,97.52,446,4.16,0,"Community transmission"
"52","Nepal","South-East Asia",343418,1178.64,39857,136.79,7388,3362,11.54,186,0.64,37,"Clusters of cases"
"53","Croatia","Europe",335522,8267.83,12486,307.68,349,7218,177.86,313,7.71,36,"Community transmission"
"54","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",327044,6410.85,6151,120.57,565,3551,69.61,99,1.94,11,"Community transmission"
"55","Azerbaijan","Europe",321380,3169.69,8374,82.59,1058,4561,44.98,190,1.87,23,"Clusters of cases"
"56","Georgia","Europe",312954,7845.08,8682,217.64,509,4163,104.36,120,3.01,12,"Community transmission"
"57","Tunisia","Eastern Mediterranean",312747,2646.22,11120,94.09,1004,10915,92.35,563,4.76,47,"Community transmission"
"58","Bolivia (Plurinational State of)","Americas",307561,2634.8,9902,84.83,1034,13021,111.55,197,1.69,12,"Community transmission"
"59","Paraguay","Americas",282543,3961.32,15461,216.77,1520,6572,92.14,672,9.42,96,"Community transmission"
"60","Kuwait","Eastern Mediterranean",277832,6505.73,9597,224.72,1246,1590,37.23,63,1.48,12,"Community transmission"
"61","Dominican Republic","Americas",267681,2467.58,2278,21,226,3499,32.26,40,0.37,6,"Community transmission"
"62","Ethiopia","Africa",258384,224.75,6105,5.31,322,3726,3.24,175,0.15,17,"Community transmission"
"63","Costa Rica","Americas",254821,5002.26,14784,290.22,1839,3266,64.11,108,2.12,12,"Community transmission"
"64","Denmark","Europe",252912,4343.5,5290,90.85,867,2490,42.76,15,0.26,1,"Community transmission"
"65","Republic of Moldova","Europe",251335,6230.47,2196,54.44,175,5838,144.72,108,2.68,12,"Community transmission"
"66","Lithuania","Europe",250337,8959.52,8465,302.96,657,3956,141.58,99,3.54,6,"Community transmission"
"67","Ireland","Europe",249838,5032.55,3205,64.56,401,4906,98.82,33,0.66,0,"Community transmission"
"68","Slovenia","Europe",241673,11530.97,4642,221.48,362,4568,217.95,29,1.38,1,"Clusters of cases"
"69","Egypt","Eastern Mediterranean",230713,225.45,7199,7.03,1078,13531,13.22,424,0.41,62,"Clusters of cases"
"70","Guatemala","Americas",228684,1276.45,6745,37.65,0,7558,42.19,130,0.73,0,"Community transmission"
"71","Armenia","Europe",217008,7323.35,3539,119.43,145,4149,140.02,109,3.68,10,"Community transmission"
"72","Honduras","Americas",213970,2160.31,7063,71.31,803,5334,53.85,193,1.95,16,"Community transmission"
"73","Qatar","Eastern Mediterranean",207592,7205.42,4688,162.72,644,480,16.66,43,1.49,8,"Community transmission"
"74","Uruguay","Americas",202492,5829.24,17627,507.44,1584,2724,78.42,398,11.46,55,"Community transmission"
"75","Venezuela (Bolivarian Republic of)","Americas",200067,703.57,8549,30.06,1202,2172,7.64,125,0.44,17,"Community transmission"
"76","Bosnia and Herzegovina","Europe",198939,6063.71,3148,95.95,107,8594,261.95,313,9.54,15,"Community transmission"
"77","Oman","Eastern Mediterranean",196900,3855.77,6630,129.83,1093,2053,40.2,70,1.37,10,"Community transmission"
"78","Bahrain","Eastern Mediterranean",180462,10605.59,7886,463.45,1165,657,38.61,32,1.88,6,"Community transmission"
"79","Libya","Eastern Mediterranean",178335,2595.36,2582,37.58,464,3047,44.34,42,0.61,8,"Community transmission"
"80","Nigeria","Africa",165167,80.12,448,0.22,14,2063,1,1,0,0,"Community transmission"
"81","Kenya","Africa",160422,298.34,3635,6.76,369,2763,5.14,141,0.26,19,"Community transmission"
"82","North Macedonia","Europe",152685,7328.72,2097,100.65,104,4936,236.92,259,12.43,45,"Community transmission"
"83","Myanmar","South-East Asia",142842,262.53,102,0.19,4,3209,5.9,2,0,0,"Clusters of cases"
