"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"1","Global","",155506494,1992.06130466859,5578659,71.4634510751761,851987,3247228,41.5974733906378,91436,1.17130875224849,14666,""
"2","United States of America","Americas",32210817,9731.29,321646,97.17,42847,573722,173.33,4886,1.48,735,"Community transmission"
"3","India","South-East Asia",21491598,1557.36,2728622,197.73,414188,234083,16.96,25753,1.87,3915,"Clusters of cases"
"4","Brazil","Americas",14930183,7024,408894,192.37,73295,414399,194.96,16214,7.63,2811,"Community transmission"
"5","France","Europe",5616180,8635.05,136853,210.42,25764,104914,161.31,1680,2.58,273,"Community transmission"
"6","Turkey","Europe",4955594,5875.8,204568,242.55,26476,41883,49.66,2485,2.95,356,"Community transmission"
"7","Russian Federation","Europe",4855128,3326.92,58571,40.14,7639,112246,76.92,2515,1.72,351,"Clusters of cases"
"8","The United Kingdom","Europe",4425944,6519.67,14143,20.83,2144,127570,187.92,90,0.13,27,"Community transmission"
"9","Italy","Europe",4070400,6824.78,75506,126.6,10579,122005,204.56,1749,2.93,267,"Clusters of cases"
"10","Spain","Europe",3551262,7502.78,41456,87.58,4006,78566,165.99,238,0.5,11,"Community transmission"
"11","Germany","Europe",3473503,4176.55,116235,139.76,21953,84126,101.15,1582,1.9,250,"Community transmission"
"12","Argentina","Americas",3071496,6795.98,142606,315.53,24079,65865,145.73,2918,6.46,663,"Community transmission"
"13","Colombia","Americas",2934611,5767.38,109985,216.15,14806,76015,149.39,3290,6.47,388,"Community transmission"
"14","Poland","Europe",2818378,7424.96,33025,87,6427,68993,181.76,1920,5.06,511,"Community transmission"
"15","Iran (Islamic Republic of)","Eastern Mediterranean",2610018,3107.43,130213,155.03,18409,73906,87.99,2555,3.04,338,"Community transmission"
"16","Mexico","Americas",2355985,1827.3,19041,14.77,3021,218007,169.09,2089,1.62,267,"Community transmission"
"17","Ukraine","Europe",2097024,4794.98,37559,85.88,6038,45451,103.93,1673,3.83,374,"Community transmission"
"18","Peru","Americas",1824457,5533.38,41118,124.71,5768,62976,191,2234,6.78,302,"Community transmission"
"19","Indonesia","South-East Asia",1697305,620.53,34437,12.59,5647,46496,17,1162,0.42,147,"Community transmission"
"20","Czechia","Europe",1641120,15346.26,12584,117.67,1872,29521,276.05,308,2.88,42,"Community transmission"
