"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","Global",157289118,2014.89698310125,5444758,69.748159360372,786943,3277272,41.9823414967728,89748,1.14968522132199,12994,"Not applicable"
"United States of America","Americas",32300609,9758.41,298281,90.11,43193,575322,173.81,4785,1.45,804,"Community transmission"
"India","South-East Asia",22296414,1615.68,2738957,198.47,403738,242362,17.56,26820,1.94,4092,"Clusters of cases"
"Brazil","Americas",15082449,7095.64,423438,199.21,78886,419114,197.17,15333,7.21,2165,"Community transmission"
"France","Europe",5676293,8727.47,122487,188.33,20745,105544,162.28,1550,2.38,205,"Community transmission"
"Turkey","Europe",5016141,5947.59,166733,197.69,18052,42746,50.68,2242,2.66,281,"Community transmission"
"Russian Federation","Europe",4880262,3344.15,57007,39.06,8419,113326,77.66,2464,1.69,334,"Clusters of cases"
"The United Kingdom","Europe",4433094,6530.2,14560,21.45,2047,127603,187.97,79,0.12,5,"Community transmission"
"Italy","Europe",4102921,6879.31,67304,112.85,10174,122694,205.72,1661,2.78,224,"Clusters of cases"
"Spain","Europe",3559222,7519.6,23271,49.16,0,78726,166.33,159,0.34,0,"Community transmission"
"Germany","Europe",3520329,4232.86,103507,124.46,12656,84775,101.93,1583,1.9,127,"Community transmission"
"Argentina","Americas",3118134,6899.17,140771,311.47,22552,66872,147.96,3007,6.65,609,"Community transmission"
"Colombia","Americas",2968626,5834.23,108902,214.02,17525,76867,151.07,3147,6.18,453,"Community transmission"
"Poland","Europe",2833052,7463.62,29819,78.56,3856,70012,184.45,1944,5.12,126,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2640670,3143.92,124513,148.24,13576,74524,88.73,2434,2.9,283,"Community transmission"
"Mexico","Americas",2361874,1831.87,17119,13.28,3043,218657,169.59,1750,1.36,484,"Community transmission"
"Ukraine","Europe",2119510,4846.39,36330,83.07,5372,46393,106.08,1797,4.11,193,"Community transmission"
"Peru","Americas",1839465,5578.89,40020,121.38,6794,63519,192.65,2042,6.19,296,"Community transmission"
"Indonesia","South-East Asia",1709762,625.09,36882,13.48,6130,46842,17.13,1190,0.44,179,"Community transmission"
