"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1","1","USA","33372079","2887","594059","53","26105941","530","6672079","9261","100324","1786","454546735","1366469","332643210","North America","10","560","1","9","0.2","20058"
"2","2","India","21640667","155382","235189","1118","17719749","122339","3685729","8944","15553","169","298601699","214596","1391457000","Asia","64","5916","5","112","0.8","2649"
"3","3","Brazil","15009023","","417176","","13591335","","1000512","8318","70189","1951","46616516","218001","213835998","South America","14","513","5",NA,NA,"4679"
"4","4","France","5728090","","105850","","4786754","","835486","5231","87591","1619","77792623","1189567","65395729","Europe","11","618","1",NA,NA,"12776"
"5","5","Turkey","4977982","","42187","","4626799","","308996","3378","58492","496","48712606","572383","85104881","Asia","17","2017","2",NA,NA,"3631"
"6","6","Russia","4863514","8386","112622","376","4480360","8022","270532","2300","33315","771","130600000","894598","145987440","Europe","30","1296","1","57","3","1853"
"7","7","UK","4431043","2490","127598","15","4242192","1717","61253","163","64983","1871","163171777","2392987","68187480","Europe","15","534","0","37","0.2","898"
"8","8","Italy","4092747","10554","122470","207","3572713","15580","397564","2253","67776","2028","60532582","1002419","60386514","Europe","15","493","1","175","3","6584"
"9","9","Spain","3559222","","78726","","3239382","","241114","2212","76100","1683","47213067","1009471","46770110","Europe","13","594","1",NA,NA,"5155"
"10","10","Germany","3493757","7295","84924","113","3128800","21500","280033","5049","41587","1011","56836969","676545","84010567","Europe","24","989","1","87","1","3333"
"11","11","Argentina","3095582","","66263","","2757230","","272089","5299","67966","1455","11610358","254915","45545928","South America","15","687","4",NA,NA,"5974"
"12","12","Colombia","2951101","","76414","","2773220","","101467","6006","57481","1488","15201520","296092","51340559","South America","17","672","3",NA,NA,"1976"
"13","13","Poland","2824425","6047","69445","453","2555059","8308","199921","2296","74698","1837","14678781","388209","37811502","Europe","13","544","3","160","12","5287"
"14","14","Iran","2627094","17076","74241","335","2074089","16397","478764","5534","30944","874","16789338","197755","84899496","Asia","32","1144","5","201","4","5639"
"15","15","Mexico","2358831","2846","218173","166","1879713","2366","260945","4798","18134","1677","6714852","51623","130075942","North America","55","596","19","22","1","2006"
"16","16","Ukraine","2105428","8404","45830","379","1731162","19453","328436","177","48389","1053","9555109","219603","43510910","Europe","21","949","5","193","9","7548"
"17","17","Peru","1832671","","63223","","1720665","","48783","2658","54938","1895","11483598","344243","33359002","South America","18","528","3",NA,NA,"1462"
"18","18","Indonesia","1703632","6327","46663","167","1558423","5891","98546","","6173","169","15099282","54715","275964453","Asia","162","5914","18","23","0.6","357"
"19","19","Czechia","1642696","1559","29608","22","1570842","112","42246","411","153154","2760","19585985","1826064","10725794","Europe","7","362","1","145","2","3939"
"20","20","South Africa","1590370","","54620","","1511905","","23845","546","26533","911","10805804","180279","59939283","Africa","38","1097","6",NA,NA,"398"
"21","21","Netherlands","1546070","7481","17290","22","1302085","6323","226695","789","90061","1007","12762141","743413","17166953","Europe","11","993","1","436","1","13205"
"22","22","Canada","1265320","","24489","","1159506","","81325","1456","33279","644","32266260","848630","38021585","North America","30","1553","1",NA,NA,"2139"
"23","23","Chile","1235778","6530","27004","109","1170437","4210","38337","3176","64180","1402","13432114","697599","19254771","South America","16","713","1","339","6","1991"
"24","24","Iraq","1103950","5763","15702","29","992423","6289","95825","533","26938","383","9606567","234416","40980899","Asia","37","2610","4","141","0.7","2338"
"25","25","Philippines","1087885","7733","18099","108","1003160","4227","66626","750","9818","163","12173692","109860","110810725","Asia","102","6122","9","70","1","601"
"26","26","Romania","1063949","1422","28799","89","1009237","3614","25913","1041","55620","1506","8419526","440149","19128823","Europe","18","664","2","74","5","1355"
"27","27","Sweden","1007792","","14173","36","835458","7821","158161","403","99266","1396","8798383","866624","10152485","Europe","10","716","1",NA,"4","15579"
"28","28","Belgium","1007264","3518","24444","38","878558","1929","104262","757","86592","2101","12821364","1102223","11632275","Europe","12","476","1","302","3","8963"
"29","29","Pakistan","850131","4298","18677","140","747755","4631","83699","5177","3787","83","12101832","53906","224500406","Asia","264","12020","19","19","0.6","373"
"30","30","Portugal","838852","377","16989","1","799442","490","22421","75","82471","1670","10781631","1059983","10171514","Europe","12","599","1","37","0.1","2204"
"31","31","Israel","838850","22","6374","","831387","56","1089","85","91203","693","14346755","1559839","9197590","Asia","11","1443","1","2",NA,"118"
"32","32","Hungary","789188","1541","28403","106","553836","7590","206949","445","81870","2947","5494198","569963","9639566","Europe","12","339","2","160","11","21469"
"33","33","Bangladesh","770842","1682","11833","37","704341","2178","54668","1115","4642","71","5599276","33715","166074306","Asia","215","14035","30","10","0.2","329"
"34","34","Jordan","718632","702","9047","33","699460","1259","10125","729","69847","879","6814404","662324","10288632","Asia","14","1137","2","68","3","984"
"35","35","Serbia","698518","1277","6519","20","655869","2048","36130","131","80220","749","3907936","448799","8707537","Europe","12","1336","2","147","2","4149"
"36","36","Switzerland","670613","1546","10698","3","601958","2281","57957","212","77010","1229","7088449","814007","8708092","Europe","13","814","1","178","0.3","6656"
"37","37","Austria","628817","1333","10351","18","599854","1932","18612","417","69484","1144","33990188","3755890","9049835","Europe","14","874","0","147","2","2057"
"38","38","Japan","620994","4344","10589","72","546042","3473","64363","1131","4923","84","12241999","97044","126148334","Asia","203","11913","10","34","0.6","510"
"39","39","UAE","532710","1766","1607","3","513068","1728","18035","","53318","161","45466777","4550685","9991193","Asia","19","6217","0","177","0.3","1805"
"40","40","Lebanon","531234","","7415","","475383","","48436","478","78128","1091","4069394","598482","6799531","Asia","13","917","2",NA,NA,"7123"
"41","41","Morocco","513016","","9049","","499917","","4050","150","13761","243","6311023","169289","37279597","Africa","73","4120","6",NA,NA,"109"
"42","42","Malaysia","432425","4498","1632","22","396004","3449","34789","375","13218","50","9904314","302739","32715679","Asia","76","20046","3","137","0.7","1063"
"43","43","Saudi Arabia","424445","1039","7045","13","407650","1061","9750","1311","12034","200","17389803","493040","35270603","Asia","83","5006","2","29","0.4","276"
"44","44","Bulgaria","408372","","16800","","345489","","46083","587","59150","2433","2562234","371120","6904062","Europe","17","411","3",NA,NA,"6675"
"45","45","Ecuador","395327","","19018","","329582","","46727","621","22124","1064","1322673","74021","17868773","South America","45","940","14",NA,NA,"2615"
"46","46","Slovakia","385022","362","11946","26","366715","451","6361","264","70493","2187","2704901","495233","5461881","Europe","14","457","2","66","5","1165"
"47","47","Nepal","377603","9023","3579","50","295395","2905","78629","","12766","121","2598405","87850","29577883","Asia","78","8264","11","305","2","2658"
"48","48","Panama","366364","","6255","","356144","","3965","105","83798","1431","2439336","557947","4371982","North America","12","699","2",NA,NA,"907"
"49","49","Belarus","366305","1354","2612","10","356842","1311","6851","","38776","276","5958089","630706","9446691","Europe","26","3617","2","143","1","725"
"50","50","Greece","358116","2671","10910","63","320966","","26240","754","34501","1051","8386740","807980","10379885","Europe","29","951","1","257","6","2528"
"51","51","Croatia","342487","1435","7388","33","323834","2079","11265","242","83865","1809","1863305","456268","4083793","Europe","12","553","2","351","8","2758"
"52","52","Kazakhstan","337652","2840","3858","25","291829","3642","41965","221","17803","203","10455458","551269","18966152","Asia","56","4916","2","150","1","2213"
"53","53","Azerbaijan","325407","722","4650","15","302860","1854","17897","","31852","455","3311267","324115","10216341","Asia","31","2197","3","71","1","1752"
"54","54","Georgia","319266","1547","4245","18","298807","1131","16214","","80164","1066","4316833","1083902","3982680","Asia","12","938","1","388","5","4071"
