"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"USA","33456913","2332","595619","31","26407793","1922","6453501","9002","100576","1791","457389227","1374971","332653797","North America","10","559","1","7","0.09","19400"
"India","22602596","306685","245256","2858","18607818","296320","3749522","8944","16243","176","302275471","217225","1391531080","Asia","62","5674","5","220","2","2695"
"Brazil","15150628","","421484","","13677668","","1051476","8318","70849","1971","46834128","219010","213844242","South America","14","507","5",NA,NA,"4917"
"France","5767959","","106277","","4832981","","828701","5005","88200","1625","78568784","1201422","65396516","Europe","11","615","1",NA,NA,"12672"
"Turkey","5016141","","42746","","4691224","","282171","3175","58937","502","49192673","577990","85109837","Asia","17","1991","2",NA,NA,"3315"
"Russia","4880262","8419","113326","334","4496132","7517","270804","2300","33429","776","131400000","900075","145987781","Europe","30","1288","1","58","2","1855"
"UK","4434860","1770","127605","2","4248211","2467","59044","163","65037","1871","163171777","2392919","68189424","Europe","15","534","0","26","0.03","866"
"Italy","4111210","8292","122833","139","3604523","14416","383854","2192","68082","2034","61097024","1011774","60386030","Europe","15","492","1","137","2","6357"
"Spain","3567408","","78792","","3248010","","240606","2183","76275","1685","47213067","1009469","46770209","Europe","13","594","1",NA,NA,"5144"
"Germany","3523190","3940","85324","72","3159200","12100","278666","5049","41937","1016","56836969","676534","84012027","Europe","24","985","1","47","0.9","3317"
"Argentina","3136158","","67042","","2798328","","270788","5285","68854","1472","11779602","258618","45548192","South America","15","679","4",NA,NA,"5945"
"Colombia","2985536","","77359","","2806310","","101867","6006","58148","1507","15365234","299263","51343521","South America","17","664","3",NA,NA,"1984"
"Poland","2833052","3852","70012","147","2569501","6422","193539","2138","74926","1852","14794397","391269","37811276","Europe","13","540","3","102","4","5119"
"Iran","2654811","14141","74910","386","2109702","17321","470199","5538","31268","882","17069126","201037","84905370","Asia","32","1133","5","167","5","5538"
"Mexico","2364617","2743","218928","271","1884008","2190","261681","4798","18178","1683","6751476","51901","130083339","North America","55","594","19","21","2","2012"
"Ukraine","2119510","5372","46393","193","1759751","9181","313366","177","48714","1066","9655779","221924","43509482","Europe","21","938","5","123","4","7202"
