"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1","1","USA","33311149","36034","593040","631","26011379","44990","6706730","9403","100144","1783","452797630","1361254","332632623","North America","10","561","1","108","2","20163"
"2","2","India","21070852","412618","230151","3982","17269076","330676","3571625","8944","15144","165","294852078","211913","1391382919","Asia","66","6046","5","297","3","2567"
"3","3","Brazil","14930183","69371","414399","2545","13442996","","1072788","8318","69823","1938","46439030","217180","213827754","South America","14","516","5","324","12","5017"
"4","4","France","5706378","26000","105631","244","4729418","12088","871329","5402","87260","1615","77308259","1182175","65394942","Europe","11","619","1","398","4","13324"
"5","5","Turkey","4955594","26476","41883","356","4589501","35464","324210","3418","58233","492","48459224","569439","85099924","Asia","17","2032","2","311","4","3810"
"6","6","Russia","4847489","7975","111895","360","4464550","7506","271044","2300","33205","766","130200000","891860","145987100","Europe","30","1305","1","55","2","1857"
"7","7","UK","4425940","2144","127570","27","4237913","3141","60457","181","64910","1871","160653676","2356125","68185535","Europe","15","534","0","31","0.4","887"
"8","8","Italy","4070400","10585","122005","267","3541266","17072","407129","2368","67405","2020","59879330","991593","60386998","Europe","15","495","1","175","4","6742"
"9","9","Spain","3551262","6317","78566","167","3232926","10229","239770","2231","75930","1680","47213067","1009473","46770012","Europe","13","595","1","135","4","5127"
"10","10","Germany","3469448","21266","84593","308","3084700","23200","300155","5049","41298","1007","55490413","660529","84009107","Europe","24","993","2","253","4","3573"
"11","11","Argentina","3047417","","65202","","2717458","","264757","5389","66912","1432","11435298","251084","45543664","South America","15","699","4","",NA,"5813"
"12","12","Colombia","2919805","","75627","","2737757","","106421","6006","56875","1473","15060360","293359","51337597","South America","18","679","3","",NA,"2073"
"13","13","Poland","2811951","3896","68482","349","2540684","3753","202785","2469","74367","1811","14546443","384707","37811727","Europe","13","552","3","103","9","5363"
"14","14","Iran","2591609","15872","73568","349","2039427","16841","478614","5499","30528","867","16511987","194502","84893621","Asia","33","1154","5","187","4","5638"
"15","15","Mexico","2352964","3064","217740","395","1875211","2836","260013","4798","18090","1674","6678270","51344","130068544","North America","55","597","19","24","3","1999"
"16","16","Ukraine","2090986","2576","45077","161","1697358","7728","348551","177","48055","1036","9487141","218033","43512338","Europe","21","965","5","59","4","8010"
"17","17","Peru","1818689","","62674","","1688091","","67924","2657","54523","1879","11348411","340216","33356492","South America","18","532","3","",NA,"2036"
"18","18","Indonesia","1691658","5285","46349","212","1547092","5943","98217","","6130","168","14947019","54166","275948657","Asia","163","5954","18","19","0.8","356"
"19","19","Czechia","1639248","2405","29479","23","1568630","155","41139","473","152834","2748","19088160","1779668","10725686","Europe","7","364","1","224","2","3836"
"20","20","South Africa","1586148","","54511","","1509656","","21981","546","26464","909","10739813","179190","59935197","Africa","38","1100","6","",NA,"367"
"21","21","Netherlands","1531800","7273","17245","24","1290245","5288","224310","808","89231","1005","12762141","743422","17166747","Europe","11","995","1","424","1","13067"
"22","22","Canada","1254471","4521","24450","54","1148603","5749","81418","1456","32995","643","32009489","841917","38019779","North America","30","1555","1","119","1","2141"
"23","23","Chile","1222949","3885","26726","30","1160945","5315","35278","3260","63517","1388","13303828","690969","19253876","South America","16","720","1","202","2","1832"
"24","24","Iraq","1091954","5813","15640","32","979041","7248","97273","538","26649","382","9524638","232445","40975955","Asia","38","2620","4","142","0.8","2374"
"25","25","Philippines","1073555","5685","17800","178","993042","8961","62713","750","9689","161","12037543","108639","110802755","Asia","103","6225","9","51","2","566"
"26","26","Romania","1060895","1564","28616","142","1002985","2534","29294","1121","55459","1496","8342560","436109","19129521","Europe","18","668","2","82","7","1531"
"27","27","Belgium","999627","2731","24367","45","876674","3491","98586","795","85938","2095","12694315","1091327","11632000","Europe","12","477","1","235","4","8475"
"28","28","Sweden","995595","","14151","33","820831","3046","160613","403","98067","1394","8798383","866653","10152141","Europe","10","717","1","","3","15821"
