"World-country-continental","contry","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"USA","33476781","","595812",NA,"26439712","","6441257","8977","100634","1791","458168303","1377291","332659090","North America","10","558","1",NA,NA,"19363"
"India","22662410","","246146",NA,"18665266","","3750998","8944","16286","177","302275471","217219","1391568121","Asia","61","5653","5",NA,NA,"2696"
"Brazil","15184790","","422418",NA,"13714135","","1048237","8318","71007","1975","46834128","219006","213848364","South America","14","506","5",NA,NA,"4902"
"France","5777087","","106392",NA,"4874109","","796586","4971","88339","1627","79015258","1208241","65396910","Europe","11","615","1",NA,NA,"12181"
"Turkey","5031332","","43029",NA,"4716918","","271385","3081","59114","506","49390141","580294","85112315","Asia","17","1978","2",NA,NA,"3189"
"Russia","4880262","","113326",NA,"4496132","","270804","2300","33429","776","131400000","900074","145987952","Europe","30","1288","1",NA,NA,"1855"
"UK","4434860","","127605",NA,"4248211","","59044","163","65036","1871","163171777","2392885","68190397","Europe","15","534","0",NA,NA,"866"
"Italy","4111210","","122833",NA,"3604523","","383854","2192","68082","2034","61097024","1011778","60385788","Europe","15","492","1",NA,NA,"6357"
"Spain","3567408","","78792",NA,"3248010","","240606","2183","76275","1685","47213067","1009468","46770258","Europe","13","594","1",NA,NA,"5144"
"Germany","3527540","","85371",NA,"3175600","16400","266569","5049","41988","1016","56836969","676528","84012757","Europe","24","984","1",NA,NA,"3173"
"Argentina","3147740","","67325",NA,"2817165","","263250","5294","69106","1478","11821485","259532","45549324","South America","14","677","4",NA,NA,"5779"
"Colombia","3002758","","77854",NA,"2819874","","105030","6006","58482","1516","15436162","300636","51345002","South America","17","660","3",NA,NA,"2046"
"Poland","2833052","","70012",NA,"2569501","","193539","2138","74926","1852","14794397","391271","37811163","Europe","13","540","3",NA,NA,"5119"
"Iran","2654811","","74910",NA,"2109702","","470199","5538","31267","882","17069126","201030","84908308","Asia","32","1133","5",NA,NA,"5538"
"Mexico","2365792","1175","218985","57","1886233","2225","260574","4798","18186","1683","6757360","51945","130087038","North America","55","594","19","9","0.4","2003"
"Ukraine","2119510","","46393",NA,"1759751","","313366","177","48715","1066","9655779","221927","43508768","Europe","21","938","5",NA,NA,"7202"
"Peru","1850290","","64103",NA,"1720665","","65522","2669","55460","1921","11682182","350156","33362768","South America","18","520","3",NA,NA,"1964"
"Indonesia","1713684","","47012",NA,"1568277","","98395","","6209","170","15222730","55157","275988146","Asia","161","5871","18",NA,NA,"357"
"Czechia","1645061","","29667",NA,"1575449","","39945","366","153372","2766","19893984","1854752","10725956","Europe","7","362","1",NA,NA,"3724"
"South Africa","1596595","","54735",NA,"1516256","","25604","546","26634","913","10887709","181627","59945412","Africa","38","1095","6",NA,NA,"427"
"Netherlands","1560022","","17323",NA,"1317448","","225251","758","90872","1009","12762141","743400","17167263","Europe","11","991","1",NA,NA,"13121"
"Canada","1286666","","24626",NA,"1181251","","80789","1331","33838","648","32642733","858470","38024294","North America","30","1544","1",NA,NA,"2125"
"Chile","1247469","","27218",NA,"1183155","","37096","3147","64783","1413","13557153","704044","19256115","South America","15","707","1",NA,NA,"1926"
"Iraq","1112725","","15771",NA,"1005369","","91585","543","27147","385","9673212","235999","40988315","Asia","37","2599","4",NA,NA,"2234"
"Philippines","1101990","","18472",NA,"1022224","","61294","750","9944","167","12287489","110875","110822682","Asia","101","5999","9",NA,NA,"553"
"Romania","1066111","","28966",NA,"1013666","","23479","984","55736","1514","8477446","443201","19127777","Europe","18","660","2",NA,NA,"1227"
"Belgium","1016609","2258","24551","40","888546","4817","103512","706","87392","2111","12989791","1116663","11632688","Europe","11","474","1","194","3","8898"
"Sweden","1007792","","14173",NA,"850811","","142808","381","99261","1396","8798383","866580","10153000","Europe","10","716","1",NA,NA,"14066"
"Pakistan","858026","","18915",NA,"757281","","81830","4903","3821","84","12190671","54293","224535621","Asia","262","11871","18",NA,NA,"364"
"Portugal","839582","","16992",NA,"800277","","22313","74","82544","1671","10903482","1071988","10171271","Europe","12","599","1",NA,NA,"2194"
"Israel","838892","","6377",NA,"831620","","895","80","91208","693","14358336","1561098","9197590","Asia","11","1442","1",NA,NA,"97"
"Hungary","791709","","28602",NA,"568329","","194778","403","82133","2967","5528240","573507","9639365","Europe","12","337","2",NA,NA,"20207"
"Bangladesh","773513","","11934",NA,"710162","","51417","1118","4657","72","5630894","33903","166087745","Asia","215","13917","29",NA,NA,"310"
"Jordan","719976","","9092",NA,"703577","","7307","729","69972","884","6839470","664706","10289462","Asia","14","1132","2",NA,NA,"710"
"Serbia","700408","","6558",NA,"661398","","32452","137","80440","753","3929245","451261","8707250","Europe","12","1328","2",NA,NA,"3727"
"Switzerland","670613","","10706",NA,"601958","","57949","205","77006","1229","7088449","813959","8708610","Europe","13","813","1",NA,NA,"6654"
"Japan","633027","","10823",NA,"555401","","66803","1144","5018","86","12426322","98508","126145174","Asia","199","11655","10",NA,NA,"530"
"Austria","631076","","10382",NA,"603901","","16793","409","69730","1147","34504177","3812509","9050255","Europe","14","872","0",NA,NA,"1856"
"UAE","536017","","1613",NA,"516329","","18075","","53644","161","45870572","4590651","9992172","Asia","19","6195","0",NA,NA,"1809"
"Lebanon","532839","","7486",NA,"481968","","43385","427","78367","1101","4097623","602655","6799282","Asia","13","908","2",NA,NA,"6381"
"Morocco","513864","","9072",NA,"500914","","3878","115","13783","243","6337114","169972","37283183","Africa","73","4110","6",NA,NA,"104"
"Malaysia","440677","","1683",NA,"401934","","37060","416","13469","51","10055506","307329","32719078","Asia","74","19441","3",NA,NA,"1133"
"Saudi Arabia","426384","","7072",NA,"409740","","9572","1336","12087","200","17527265","496874","35275050","Asia","83","4988","2",NA,NA,"271"
"Bulgaria","410202","","16929",NA,"348392","","44881","562","59418","2452","2590585","375249","6903636","Europe","17","408","3",NA,NA,"6501"
"Ecuador","400296","","19222",NA,"342878","","38196","616","22399","1076","1338265","74885","17870970","South America","45","930","13",NA,NA,"2137"
"Nepal","394667","","3720",NA,"302787","","88160","","13341","126","2634504","89057","29582184","Asia","75","7952","11",NA,NA,"2980"
"Slovakia","385475","","12019",NA,"367892","","5564","251","70575","2201","2720699","498123","5461902","Europe","14","454","2",NA,NA,"1019"
"Belarus","368888","","2632",NA,"359687","","6569","","39050","279","5996492","634773","9446666","Europe","26","3589","2",NA,NA,"695"
"Panama","367656","","6271",NA,"357101","","4284","105","84083","1434","2464149","563551","4372539","North America","12","697","2",NA,NA,"980"
"Greece","362004","","11029",NA,"323458","","27517","728","34877","1063","8468558","815895","10379470","Europe","29","941","1",NA,NA,"2651"
"Kazakhstan","344731","2142","3928","15","299528","2260","41275","221","18174","207","10455458","551216","18967992","Asia","55","4829","2","113","0.8","2176"
"Croatia","344494","","7469",NA,"327404","","9621","234","84361","1829","1878350","459976","4083587","Europe","12","547","2",NA,NA,"2356"
"Azerbaijan","326716","","4680",NA,"306119","","15917","","31977","458","3330985","326021","10217089","Asia","31","2183","3",NA,NA,"1558"
"Georgia","321919","","4281",NA,"300989","","16649","","80831","1075","4362839","1095470","3982617","Asia","12","930","1",NA,NA,"4180"
"Tunisia","320813","","11429",NA,"277497","","31887","529","26905","958","1361670","114196","11923998","Africa","37","1043","9",NA,NA,"2674"
"Bolivia","317547","","13205",NA,"260438","","43904","158","26891","1118","1242041","105181","11808555","South America","37","894","10",NA,NA,"3718"
"Palestine","301751","","3358",NA,"286385","","12008","80","58007","646","1770081","340269","5202003","Asia","17","1549","3",NA,NA,"2308"
"Paraguay","297789","","7130",NA,"246680","","43979","565","41319","989","1151608","159787","7207149","South America","24","1011","6",NA,NA,"6102"
"Kuwait","285068","","1645",NA,"269633","","13790","210","65922","380","2403736","555866","4324308","Asia","15","2629","2",NA,NA,"3189"
"Dominican Republic","271548","","3532",NA,"231645","","36371","228","24820","323","1441239","131733","10940620","North America","40","3098","8",NA,NA,"3324"
"Costa Rica","265486","","3365",NA,"212525","","49596","433","51714","655","1033203","201256","5133774","North America","19","1526","5",NA,NA,"9661"
"Ethiopia","262702","","3888",NA,"210030","","48784","740","2238","33","2620593","22326","117377636","Africa","447","30190","45",NA,NA,"416"
"Denmark","259056","","2497",NA,"245562","","10997","31","44591","430","42600965","7332829","5809622","Europe","22","2327","0",NA,NA,"1893"
"Lithuania","257827","","4034",NA,"232076","","21717","188","95857","1500","2974312","1105818","2689695","Europe","10","667","1",NA,NA,"8074"
"Ireland","252809","","4921",NA,"235271","","12617","31","50716","987","4641879","931211","4984775","Europe","20","1013","1",NA,NA,"2531"
"Moldova","252749","","5952",NA,"243534","","3263","170","62780","1478","1019679","253277","4025943","Europe","16","676","4",NA,NA,"810"
"Slovenia","246082","","4293",NA,"232798","","8991","129","118355","2065","1205766","579923","2079182","Europe","8","484","2",NA,NA,"4324"
"Egypt","237410","","13904",NA,"176763","","46743","90","2283","134","2715258","26115","103974224","Africa","438","7478","38",NA,NA,"450"
"Guatemala","235098","","7733",NA,"213641","","13724","5","12919","425","1307831","71870","18197167","North America","77","2353","14",NA,NA,"754"
"Uruguay","220683","","3122",NA,"192114","","25447","526","63342","896","1909479","548069","3484011","South America","16","1116","2",NA,NA,"7304"
"Honduras","219288","","5617",NA,"81382","","132289","561","21845","560","651677","64917","10038587","North America","46","1787","15",NA,NA,"13178"
"Armenia","219270","","4234",NA,"204578","","10458","","73879","1427","1014891","341947","2967975","Asia","14","701","3",NA,NA,"3524"
"Qatar","210992","","508",NA,"201530","","8954","252","75145","181","1945111","692751","2807805","Asia","13","5527","1",NA,NA,"3189"
"Venezuela","207870","","2291",NA,"190768","","14811","316","7328","81","3359014","118413","28367006","South America","136","12382","8",NA,NA,"522"
"Oman","201350","","2120",NA,"184647","","14583","275","38597","406","1550000","297123","5216697","Asia","26","2461","3",NA,NA,"2795"
"Bosnia and Herzegovina","200693","","8790",NA,"164717","","27186","","61499","2694","922568","282706","3263343","Europe","16","371","4",NA,NA,"8331"
"Bahrain","189356","","685",NA,"175332","","13339","114","108109","391","4238466","2419872","1751525","Asia","9","2557","0",NA,NA,"7616"
"Libya","179970","","3070",NA,"166340","","10560","","25892","442","974520","140202","6950826","Africa","39","2264","7",NA,NA,"1519"
"Nigeria","165419","","2065",NA,"156297","","7057","11","786","10","1939165","9213","210470780","Africa","1272","101923","109",NA,NA,"34"
"Kenya","163554","","2895",NA,"111191","","49468","133","2986","53","1719289","31387","54776405","Africa","335","18921","32",NA,NA,"903"
"North Macedonia","154026","","5093",NA,"137962","","10971","124","73934","2445","740005","355208","2083301","Europe","14","409","3",NA,NA,"5266"
"Myanmar","142947","","3210",NA,"132013","","7724","","2612","59","2588880","47311","54720998","Asia","383","17047","21",NA,NA,"141"
