"contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"USA","33586136","","597785","","26620229","","6368122","8707","100958","1797","461476543","1387169","332674970","North America","10","557","1",NA,NA,"19142"
"India","23703665","833","258351","","19734823","6387","3710491","8944","17032","186","309448585","222356","1391679242","Asia","59","5387","4","0.6",NA,"2666"
"Brazil","15361686","","428256","","13924217","","1009213","8318","71830","2002","46970130","219630","213860730","South America","14","499","5",NA,NA,"4719"
"France","5821668","","107119","","4960097","","754452","4583","89019","1638","79684856","1218458","65398090","Europe","11","611","1",NA,NA,"11536"
"Turkey","5072462","","43821","","4801291","","227350","2827","59592","515","50058648","588097","85119750","Asia","17","1942","2",NA,NA,"2671"
"Russia","4913439","8380","114723","392","4527878","9349","270838","2300","33656","786","132400000","906921","145988463","Europe","30","1273","1","57","3","1855"
"UK","4441975","","127640","","4256103","","58232","138","65138","1872","167749070","2459905","68193314","Europe","15","534","0",NA,NA,"854"
"Italy","4131078","","123544","","3655112","","352422","1992","68412","2046","61820196","1023766","60385062","Europe","15","489","1",NA,NA,"5836"
"Spain","3592751","","79208","","3291156","","222387","1991","76817","1694","47213067","1009465","46770406","Europe","13","590","1",NA,NA,"4755"
"Germany","3558148","","86009","","3240300","20000","231839","5049","42351","1024","58093759","691469","84014947","Europe","24","977","1",NA,NA,"2759"
"Argentina","3215572","","68807","","2869341","","277424","5394","70590","1510","12066534","264892","45552720","South America","14","662","4",NA,NA,"6090"
"Colombia","3048719","","79261","","2859627","","109831","6582","59372","1544","15639108","304562","51349445","South America","17","648","3",NA,NA,"2139"
"Poland","2845762","3730","71021","342","2584751","2232","189990","1772","75263","1878","15017415","397172","37810825","Europe","13","532","3","99","9","5025"
"Iran","2722007","14246","76231","297","2179890","17803","465886","5481","32055","898","17616446","207455","84917119","Asia","31","1114","5","168","3","5486"
"Mexico","2371483","3090","219590","267","1893236","2184","258657","4798","18228","1688","6791913","52206","130098135","North America","55","592","19","24","2","1988"
"Ukraine","2135886","6813","47333","346","1816643","19507","271910","177","49093","1088","9721036","223438","43506626","Europe","20","919","4","157","8","6250"
"Peru","1865639","","64898","","1720665","","80076","2670","55913","1945","11832582","354624","33366534","South America","18","514","3",NA,NA,"2400"
"Indonesia","1731652","3448","47716","99","1589079","4201","94857","","6274","173","15410887","55834","276011839","Asia","159","5784","18","12","0.4","344"
"Czechia","1649947","1261","29825","13","1587457","83","32665","337","153825","2781","20767772","1936187","10726119","Europe","7","360","1","118","1","3045"
"South Africa","1602031","","54968","","1519734","","27329","546","26722","917","10968926","182963","59951541","Africa","37","1091","5",NA,NA,"456"
"Netherlands","1577754","","17399","","1339941","","220414","726","91903","1013","13171698","767243","17167573","Europe","11","987","1",NA,NA,"12839"
"Canada","1305770","","24766","","1204328","","76676","1327","34338","651","33001128","867834","38027004","North America","29","1535","1",NA,NA,"2016"
"Chile","1260448","","27384","","1199432","","33632","3036","65452","1422","13689304","710857","19257458","South America","15","703","1",NA,NA,"1746"
"Iraq","1127580","","15855","","1023584","","88141","488","27505","387","9781666","238602","40995731","Asia","36","2586","4",NA,NA,"2150"
"Philippines","1124724","6385","18821","107","1050643","4289","55260","750","10148","170","12467422","112487","110834638","Asia","99","5889","9","58","1","499"
"Romania","1069770","953","29308","75","1020194","1552","20268","829","55931","1532","8592149","449222","19126731","Europe","18","653","2","50","4","1060"
"Sweden","1027934","","14267","","862199","","151468","373","101239","1405","8798383","866536","10153515","Europe","10","712","1",NA,NA,"14918"
"Belgium","1023583","3251","24630","21","897904","","101049","657","87989","2117","13125499","1128289","11633100","Europe","11","472","1","279","2","8686"
"Pakistan","870703","3265","19336","126","776315","4623","75052","4567","3877","86","12349976","54994","224570836","Asia","258","11614","18","15","0.6","334"
"Portugal","840493","","16998","","801621","","21874","71","82636","1671","11011029","1082588","10171028","Europe","12","598","1",NA,NA,"2151"
"Israel","839042","12","6379","","831855","29","808","70","91224","694","14466175","1572822","9197590","Asia","11","1442","1","1",NA,"88"
"Hungary","795200","1416","28970","82","600461","8021","165769","354","82497","3005","5588435","579763","9639165","Europe","12","333","2","147","9","17197"
"Bangladesh","778687","1290","12076","31","719619","1370","46992","1149","4688","73","5690693","34260","166101183","Asia","213","13755","29","8","0.2","283"
"Jordan","722336","","9180","","708854","","4302","729","70196","892","6893261","669880","10290291","Asia","14","1121","1",NA,NA,"418"
"Serbia","703497","","6611","","669310","","27576","104","80797","759","3964964","455379","8706962","Europe","12","1317","2",NA,NA,"3167"
"Switzerland","677210","","10725","","612471","","54014","190","77759","1231","7216520","828616","8709128","Europe","13","812","1",NA,NA,"6202"
"Japan","651702","","11064","","568558","","72080","1189","5166","88","12700938","100688","126142014","Asia","194","11401","10",NA,NA,"571"
"Austria","634893","933","10444","16","611254","1588","13195","316","70149","1154","35798712","3955363","9050676","Europe","14","867","0","103","2","1458"
"UAE","542158","1512","1623","4","522356","1474","18179","","54253","162","46613437","4664538","9993152","Asia","18","6157","0","151","0.4","1819"
"Lebanon","534388","","7549","","490305","","36534","352","78598","1110","4151385","610585","6799033","Asia","13","901","2",NA,NA,"5373"
"Morocco","514432","","9088","","501692","","3652","108","13797","244","6348840","170271","37286768","Africa","72","4103","6",NA,NA,"98"
"Malaysia","458077","4855","1788","27","414707","3347","41582","481","13999","55","10341089","316024","32722476","Asia","71","18301","3","148","0.8","1271"
"Nepal","431191","8842","4466","214","321518","5055","105207","","14574","151","2712562","91682","29586485","Asia","69","6625","11","299","7","3556"
"Saudi Arabia","429389","","7111","","413010","","9268","1352","12171","202","17740919","502868","35279497","Asia","82","4961","2",NA,NA,"263"
"Bulgaria","412814","","17150","","357149","","38515","526","59800","2484","2631255","381164","6903209","Europe","17","403","3",NA,NA,"5579"
"Ecuador","404632","","19349","","342878","","42405","607","22639","1083","1350957","75586","17873167","South America","44","924","13",NA,NA,"2373"
"Slovakia","386868","328","12135","39","369648","545","5085","225","70830","2222","2745856","502727","5461924","Europe","14","450","2","60","7","931"
"Belarus","372242","837","2671","10","362806","694","6765","","39405","283","6036143","638972","9446640","Europe","25","3537","2","89","1","716"
"Greece","369554","","11211","","333892","","24451","707","35606","1080","8645362","832962","10379054","Europe","28","926","1",NA,NA,"2356"
"Panama","368930","","6285","","358044","","4601","105","84364","1437","2487010","568707","4373096","North America","12","696","2",NA,NA,"1052"
"Kazakhstan","350591","2283","3984","20","307464","2791","39143","221","18482","210","10691113","563585","18969833","Asia","54","4762","2","120","1","2063"
"Croatia","348158","1064","7623","34","332669","1281","7866","202","85262","1867","1906407","466870","4083381","Europe","12","536","2","261","8","1926"
"Azerbaijan","328159","","4726","","309771","","13662","","32116","463","3353167","328168","10217838","Asia","31","2162","3",NA,NA,"1337"
"Georgia","326441","776","4379","16","306264","1329","15798","","81968","1100","4473163","1123189","3982555","Asia","12","909","1","195","4","3967"
"Tunisia","324103","","11637","","283270","","29196","446","27178","976","1376013","115389","11925011","Africa","37","1025","9",NA,NA,"2448"
"Bolivia","322578","","13308","","265017","","44253","158","27314","1127","1266913","107276","11809861","South America","37","887","9",NA,NA,"3747"
"Paraguay","304889","","7358","","252425","","45106","599","42299","1021","1170023","162326","7207867","South America","24","980","6",NA,NA,"6258"
"Palestine","303270","","3401","","288891","","10978","78","58288","654","1784690","343013","5202977","Asia","17","1530","3",NA,NA,"2110"
"Kuwait","288184","","1669","","273289","","13226","197","66635","386","2429889","561847","4324826","Asia","15","2591","2",NA,NA,"3058"
"Costa Rica","276887","","3482","","217684","","55721","487","53930","678","1073443","209079","5134155","North America","19","1474","5",NA,NA,"10853"
"Dominican Republic","273497","","3554","","232381","","37562","242","24996","325","1456859","133150","10941511","North America","40","3079","8",NA,NA,"3433"
"Ethiopia","264367","","3938","","214808","","45621","659","2252","34","2634674","22442","117401048","Africa","444","29812","45",NA,NA,"389"
"Lithuania","262335","1136","4071","7","236442","1177","21822","158","97545","1514","3048832","1133654","2689386","Europe","10","661","1","422","3","8114"
"Denmark","262159","","2499","","247855","","11805","29","45124","430","44483648","7656673","5809788","Europe","22","2325","0",NA,NA,"2032"
"Ireland","254013","","4937","","236393","","12683","34","50953","990","4709664","944724","4985227","Europe","20","1010","1",NA,NA,"2544"
"Moldova","253173","","5981","","244073","","3119","171","62887","1486","1029440","255706","4025866","Europe","16","673","4",NA,NA,"775"
"Slovenia","248046","597","4308","4","235106","917","8632","124","119300","2072","1220132","586832","2079185","Europe","8","483","2","287","2","4152"
"Egypt","240927","","14091","","178805","","48031","90","2317","136","2715258","26111","103990069","Africa","432","7380","38",NA,NA,"462"
"Guatemala","237682","","7815","","217219","","12648","5","13060","429","1322009","72638","18199887","North America","77","2329","14",NA,NA,"695"
"Uruguay","228102","","3252","","198922","","25928","512","65469","933","1949677","559591","3484110","South America","15","1071","2",NA,NA,"7442"
"Honduras","222992","874","5853","64","82187","214","134952","535","22211","583","664126","66149","10039879","North America","45","1715","15","87","6","13442"
"Armenia","220217","267","4291","19","206752","674","9174","","74197","1446","1026974","346013","2968021","Asia","13","692","3","90","6","3091"
"Qatar","212124","","519","","204408","","7197","231","75548","185","1957978","697334","2807805","Asia","13","5410","1",NA,NA,"2563"
"Venezuela","210948","","2337","","194166","","14445","316","7437","82","3359014","118415","28366348","South America","134","12138","8",NA,NA,"509"
"Oman","202713","","2148","","186391","","14174","255","38851","412","1550000","297062","5217765","Asia","26","2429","3",NA,NA,"2716"
"Bosnia and Herzegovina","202003","207","8958","15","168145","441","24900","","61904","2745","936259","286916","3263177","Europe","16","364","3","63","5","7631"
"Bahrain","194289","","705","","178458","","15126","142","110895","402","4292201","2449868","1752013","Asia","9","2485","0",NA,NA,"8633"
"Libya","180945","","3082","","167322","","10541","","26029","443","980344","141024","6951592","Africa","38","2256","7",NA,NA,"1516"
"Nigeria","165559","","2066","","156374","","7119","11","786","10","1977479","9394","210512785","Africa","1272","101894","106",NA,NA,"34"
"Kenya","164386","","2950","","113124","","48312","119","3001","54","1729345","31565","54786136","Africa","333","18572","32",NA,NA,"882"
"North Macedonia","154494","123","5168","17","143069","3803","6257","124","74158","2481","748069","359079","2083300","Europe","13","403","3","59","8","3003"
"Myanmar","142997","","3211","","132064","","7722","","2613","59","2595359","47426","54723983","Asia","383","17043","21",NA,NA,"141"
"Sri Lanka","132527","","868","","107657","","24002","","6167","40","3050870","141963","21490644","Asia","162","24759","7",NA,NA,"1117"
"Albania","131845","","2423","","120072","","9350","18","45858","843","663580","230804","2875084","Europe","22","1187","4",NA,NA,"3252"
"S. Korea","129633","715","1891","7","119906","533","7836","160","2527","37","9241153","180114","51307257","Asia","396","27132","6","14","0.1","153"
"Latvia","126378","689","2240","17","114981","","9157","81","67649","1199","2455203","1314245","1868147","Europe","15","834","1","369","9","4902"
"Estonia","126364","300","1212","2","117582","474","7570","36","95203","913","1346257","1014279","1327305","Europe","11","1095","1","226","2","5703"
"Algeria","124682","","3350","","86857","","34475","28","2800","75","230861","5184","44530480","Africa","357","13293","193",NA,NA,"774"
"Cuba","119375","","768","","112461","","6146","135","10545","68","3900479","344546","11320648","North America","95","14740","3",NA,NA,"543"
"Norway","117995","","774","","88952","","28269","22","21620","142","5423294","993688","5457742","Europe","46","7051","1",NA,NA,"5180"
"Kyrgyzstan","99645","329","1681","6","92718","309","5246","85","15060","254","1043213","157666","6616606","Asia","66","3936","6","50","0.9","793"
"Montenegro","98546","","1548","","95368","","1630","64","156887","2464","389412","619950","628135","Europe","6","406","2",NA,NA,"2595"
"Uzbekistan","95826","359","667","1","91301","325","3858","23","2828","20","1377915","40663","33885934","Asia","354","50803","25","11","0.03","114"
"Ghana","93125","","783","","90910","","1432","7","2944","25","1113553","35207","31628917","Africa","340","40395","28",NA,NA,"45"
"Zambia","92211","","1259","","90574","","378","42","4899","67","1453013","77189","18824120","Africa","204","14952","13",NA,NA,"20"
"Finland","89532","262","930","","46000","","42602","24","16137","168","4716650","850131","5548145","Europe","62","5966","1","47",NA,"7679"
"Thailand","88907","","486","","59043","","29378","1207","1271","7","8124896","116151","69951033","Asia","787","143932","9",NA,NA,"420"
"Cameroon","74946","","1152","","70497","","3297","385","2764","42","1518411","56006","27111439","Africa","362","23534","18",NA,NA,"122"
"El Salvador","70915","","2173","5","66418","","2324","28","10886","334","946627","145313","6514410","North America","92","2998","7",NA,"0.8","357"
"Cyprus","70358","","341","","39061","","30956","56","57911","281","5566171","4581482","1214928","Asia","17","3563","0",NA,NA,"25480"
"Mozambique","70287","","826","","68047","","1414","24","2196","26","530868","16588","32004065","Africa","455","38746","60",NA,NA,"44"
"Luxembourg","68748","","806","","65513","","2429","30","108312","1270","2748184","4329744","634722","Europe","9","787","0",NA,NA,"3827"
"Afghanistan","63349","407","2730","9","54619","85","6000","1124","1597","69","428390","10796","39679387","Asia","626","14535","93","10","0.2","151"
"Singapore","61451","32","31","","61006","","414","3","10433","5","10441802","1772814","5889959","Asia","96","189999","1","5",NA,"70"
"Namibia","50515","","702","","47698","","2115","54","19577","272","404532","156772","2580388","Africa","51","3676","6",NA,NA,"820"
"Botswana","49041","","751","","46290","","2000","1","20499","314","1086267","454061","2392337","Africa","49","3186","2",NA,NA,"836"
"Mongolia","47033","585","193","9","37281","1548","9559","110","14151","58","2808208","844924","3323621","Asia","71","17221","1","176","3","2876"
"Jamaica","46922","","820","","22636","","23466","14","15786","276","348636","117295","2972308","North America","63","3625","9",NA,NA,"7895"
"Ivory Coast","46516","","292","","45942","","282","","1727","11","608960","22607","26937384","Africa","579","92251","44",NA,NA,"10"
"Uganda","42487","","346","","41971","","170","24","904","7","1047226","22294","46974338","Africa","1106","135764","45",NA,NA,"4"
"Senegal","40762","","1121","","39460","","181","12","2381","65","493457","28821","17121385","Africa","420","15273","35",NA,NA,"11"
"Maldives","40092","","87","","27123","","12882","90","73065","159","778634","1419016","548714","Asia","14","6307","1",NA,NA,"23477"
"Madagascar","39759","249","745","7","37150","269","1864","302","1405","26","194234","6863","28300139","Africa","712","37987","146","9","0.2","66"
"Zimbabwe","38466","","1579","","36277","","610","12","2556","105","438833","29161","15048804","Africa","391","9531","34",NA,NA,"41"
"Sudan","34272","","2446","","27949","","3877","","766","55","232965","5209","44726050","Africa","1305","18285","192",NA,NA,"87"
"Malawi","34183","","1153","","32170","","860","11","1748","59","236897","12116","19552902","Africa","572","16958","83",NA,NA,"44"
"Malta","30473","4","417","","29867","7","189","","68857","942","891075","2013469","442557","Europe","15","1061","0","9",NA,"427"
"DRC","30429","","775","","26541","","3113","","331","8","154866","1685","91887149","Africa","3020","118564","593",NA,NA,"34"
"Australia","29950","3","910","","28861","","179","1","1163","35","17384804","675025","25754325","Australia/Oceania","860","28301","1","0.1",NA,"7"
"Angola","29405","","645","","25187","","3573","21","872","19","527590","15637","33739304","Africa","1147","52309","64",NA,NA,"106"
"Cabo Verde","27029","","238","","23925","","2866","23","48164","424","158645","282698","561182","Africa","21","2358","4",NA,NA,"5107"
"Rwanda","25846","","340","","24411","","1095","1","1954","26","1354868","102432","13227036","Africa","512","38903","10",NA,NA,"83"
"Gabon","23734","","143","","20270","","3321","18","10452","63","763003","336020","2270706","Africa","96","15879","3",NA,NA,"1463"
"Syria","23543","","1676","","19610","","2257","","1318","94","103566","5797","17864615","Asia","759","10659","172",NA,NA,"126"
"Guinea","22719","","151","","20341","","2227","24","1691","11","444435","33074","13437438","Africa","591","88990","30",NA,NA,"166"
"Réunion","22644","","169","","21603","","872","36","25137","188","102720","114030","900815","Africa","40","5330","9",NA,NA,"968"
"French Guiana","21106","","108","","9995","","11003","24","69131","354","232001","759897","305306","South America","14","2827","1",NA,NA,"36039"
"Cambodia","20695","","136","","8539","","12020","","1223","8","1018022","60175","16917798","Asia","817","124396","17",NA,NA,"710"
"Mayotte","20176","","171","","2964","","17041","6","72458","614","176919","635369","278451","Africa","14","1628","2",NA,NA,"61199"
"French Polynesia","18797","","141","","18617","","39","1","66584","499","26355","93356","282307","Australia/Oceania","15","2002","11",NA,NA,"138"
"Mauritania","18745","","457","","17973","","315","14","3943","96","246513","51852","4754211","Africa","254","10403","19",NA,NA,"66"
"Eswatini","18492","","671","","17784","","37","3","15798","573","195230","166792","1170499","Africa","63","1744","6",NA,NA,"32"
"Guadeloupe","16017","","221","","2242","","13554","33","40024","552","195404","488287","400183","North America","25","1811","2",NA,NA,"33870"
"Guyana","14659","","331","","12551","","1777","14","18560","419","132331","167545","789823","South America","54","2386","6",NA,NA,"2250"
"Somalia","14486","","753","","6325","","7408","","890","46","120132","7383","16272317","Africa","1123","21610","135",NA,NA,"455"
"Trinidad and Tobago","14417","","235","","9594","","4588","15","10273","167","148770","106007","1403396","North America","97","5972","9",NA,NA,"3269"
"Mali","14149","","507","","9113","","4529","","682","24","280272","13508","20749349","Africa","1466","40926","74",NA,NA,"218"
"Andorra","13470","","127","","13104","","239","12","174094","1641","193595","2502133","77372","Europe","6","609","0",NA,NA,"3089"
"Burkina Faso","13387","","164","","13184","","39","","626","8","182822","8546","21393410","Africa","1598","130448","117",NA,NA,"2"
"Tajikistan","13308","","90","","13218","","0","","1369","9","","","9721165","Asia","730","108013",NA,NA,NA,""
"Haiti","13268","","269","","12397","","602","","1152","23","60085","5215","11522045","North America","868","42833","192",NA,NA,"52"
"Papua New Guinea","13242","245","133","3","10995","80","2114","","1456","15","104674","11512","9092401","Australia/Oceania","687","68364","87","27","0.3","233"
"Togo","13210","","125","","11807","","1278","","1564","15","320111","37906","8444886","Africa","639","67559","26",NA,NA,"151"
"Belize","12707","","323","","12320","","64","1","31467","800","123300","305333","403822","North America","32","1250","3",NA,NA,"158"
"Curaçao","12236","","117","","12006","","113","22","74306","711","101728","617765","164671","North America","13","1407","2",NA,NA,"686"
"Hong Kong","11818","3","210","","11511","6","97","3","1565","28","14841321","1965908","7549348","Asia","639","35949","1","0.4",NA,"13"
"Martinique","11736","","90","","98","","11548","24","31295","240","170302","454122","375014","North America","32","4167","2",NA,NA,"30794"
"Suriname","11427","","220","","9985","","1222","26","19330","372","54231","91737","591156","South America","52","2687","11",NA,NA,"2067"
"Djibouti","11389","","151","","11221","","17","","11385","151","152966","152914","1000343","Africa","88","6625","7",NA,NA,"17"
"Congo","11343","","148","","8208","","2987","","2013","26","141948","25193","5634351","Africa","497","38070","40",NA,NA,"530"
"Bahamas","10966","","215","","9932","","819","5","27659","542","91052","229652","396478","North America","36","1844","4",NA,NA,"2066"
"Aruba","10814","","104","","10613","","97","14","100917","971","155523","1451356","107157","North America","10","1030","1",NA,NA,"905"
"Lesotho","10778","4","320","1","6427","","4031","","4997","148","86427","40071","2156871","Africa","200","6740","25","2","0.5","1869"
"South Sudan","10641","","115","","10462","","64","","941","10","156542","13845","11306582","Africa","1063","98318","72",NA,NA,"6"
"Seychelles","8172","","28","","5658","","2486","","82652","283","21504","217493","98872","Africa","12","3531","5",NA,NA,"25144"
"Benin","7995","","101","","7652","","242","35","645","8","595112","48013","12394855","Africa","1550","122721","21",NA,NA,"20"
"Equatorial Guinea","7694","","112","","7279","","303","7","5334","78","123169","85396","1442320","Africa","187","12878","12",NA,NA,"210"
"Nicaragua","7086","","184","","4225","","2677","","1059","27","","","6692328","North America","944","36371",NA,NA,NA,"400"
"CAR","6866","","95","","5112","","1659","2","1401","19","40907","8345","4901838","Africa","714","51598","120",NA,NA,"338"
"Iceland","6526","","29","","6422","","75","3","19018","85","622370","1813691","343151","Europe","53","11833","1",NA,NA,"219"
"Yemen","6498","","1277","","3003","","2218","23","214","42","34671","1141","30388802","Asia","4677","23797","876",NA,NA,"73"
"Gambia","5934","","175","","5648","","111","3","2398","71","76379","30864","2474710","Africa","417","14141","32",NA,NA,"45"
"Niger","5325","","192","","4929","","204","2","213","8","101658","4074","24953468","Africa","4686","129966","245",NA,NA,"8"
"San Marino","5083","","90","","4968","","25","4","149531","2648","63241","1860412","33993","Europe","7","378","1",NA,NA,"735"
"Chad","4891","","172","","4668","","51","","291","10","116026","6895","16828720","Africa","3441","97841","145",NA,NA,"3"
"Saint Lucia","4725","","75","","4486","","164","1","25631","407","42382","229900","184350","North America","39","2458","4",NA,NA,"890"
"Gibraltar","4286","","94","","4189","","3","","127249","2791","240870","7151297","33682","Europe","8","358","0",NA,NA,"89"
"Burundi","4233","","6","","773","","3454","","347","0.5","279132","22892","12193348","Africa","2881","2032225","44",NA,NA,"283"
"Sierra Leone","4089","","79","","3093","","917","","504","10","153257","18883","8116060","Africa","1985","102735","53",NA,NA,"113"
"Channel Islands","4057","","86","","3956","","15","","23151","491","454413","2593060","175242","Europe","43","2038","0",NA,NA,"86"
"Barbados","3957","","46","","3879","","32","","13755","160","160664","558484","287679","North America","73","6254","2",NA,NA,"111"
"Comoros","3860","","146","","3688","","26","","4359","165","","","885477","Africa","229","6065",NA,NA,NA,"29"
"Eritrea","3822","","12","","3639","","171","","1065","3","23693","6602","3588600","Africa","939","299050","151",NA,NA,"48"
"Guinea-Bissau","3741","","67","","3400","","274","9","1863","33","64758","32253","2007831","Africa","537","29968","31",NA,NA,"136"
"Vietnam","3710","87","35","","2657","21","1018","","38","0.4","3091540","31517","98092415","Asia","26440","2802640","32","0.9",NA,"10"
"Timor-Leste","3626","","5","","1894","","1727","","2706","4","84361","62957","1339984","Asia","370","267997","16",NA,NA,"1289"
"Liechtenstein","2980","2","58","","2887","","35","3","77966","1517","39109","1023207","38222","Europe","13","659","1","52",NA,"916"
"New Zealand","2644","1","26","","2600","9","18","","529","5","2069812","413789","5002100","Australia/Oceania","1892","192388","2","0.2",NA,"4"
"Monaco","2487","","32","","2427","","28","1","62991","810","51953","1315865","39482","Europe","16","1234","1",NA,NA,"709"
"Bermuda","2461","6","31","","2222","40","208","11","39643","499","251454","4050548","62079","North America","25","2003","0","97",NA,"3351"
"Turks and Caicos","2404","","17","","2365","","22","2","61378","434","65926","1683203","39167","North America","16","2304","1",NA,NA,"562"
"Sao Tome and Principe","2320","","35","","2270","","15","","10420","157","12999","58383","222650","Africa","96","6361","17",NA,NA,"67"
"Sint Maarten","2272","","27","","2213","","32","2","52477","624","26880","620857","43295","North America","19","1604","2",NA,NA,"739"
"Liberia","2114","","85","","1962","","67","2","410","16","97875","18970","5159479","Africa","2441","60700","53",NA,NA,"13"
"St. Vincent Grenadines","1926","","12","","1748","","166","2","17313","108","46562","418557","111244","North America","58","9270","2",NA,NA,"1492"
"Saint Martin","1773","","12","","1399","","362","7","45193","306","27588","703201","39232","North America","22","3269","1",NA,NA,"9227"
"Isle of Man","1590","","29","","1555","3","6","1","18614","339","44761","524005","85421","Europe","54","2946","2",NA,NA,"70"
"Caribbean Netherlands","1583","","17","","1548","","18","","59887","643","10040","379828","26433","North America","17","1555","3",NA,NA,"681"
"Laos","1482","65","1","","431","103","1050","","201","0.1","212173","28803","7366263","Asia","4970","7366263","35","9",NA,"143"
"Mauritius","1274","4","17","","1130","2","127","","1000","13","358675","281625","1273589","Africa","1000","74917","4","3",NA,"100"
"Bhutan","1263","6","1","","1121","","141","","1621","1","736272","945252","778916","Asia","617","778916","1","8",NA,"181"
"Taiwan","1256","25","12","","1102","5","142","","53","0.5","571259","23948","23853960","Asia","18992","1987830","42","1",NA,"6"
"Antigua and Barbuda","1240","","32","","1179","","29","4","12573","324","16700","169325","98627","North America","80","3082","6",NA,NA,"294"
"St. Barth","974","","1","","462","","511","","98354","101","26385","2664344","9903","North America","10","9903","0",NA,NA,"51601"
"Diamond Princess","712","","13","","699","","0","","","","","","","","","",NA,NA,NA,""
"Faeroe Islands","669","","1","","663","","5","","13647","20","258096","5264794","49023","Europe","73","49023","0",NA,NA,"102"
"Cayman Islands","560","","2","","546","","12","","8436","30","93117","1402660","66386","North America","119","33193","1",NA,NA,"181"
"Tanzania","509","","21","","183","","305","7","8","0.3","","","61188559","Africa","120213","2913741",NA,NA,NA,"5"
"Wallis and Futuna","445","","7","","44","","394","1","40206","632","17264","1559812","11068","Australia/Oceania","25","1581","1",NA,NA,"35598"
"Brunei","231","","3","","220","","8","","524","7","122884","278595","441084","Asia","1909","147028","4",NA,NA,"18"
"British Virgin Islands","219","","1","","193","","25","","7203","33","39777","1308282","30404","North America","139","30404","1",NA,NA,"822"
"Dominica","175","","","","175","","0","","2426","","15546","215498","72140","North America","412","","5",NA,NA,""
"Fiji","165","4","4","1","109","3","52","","183","4","70792","78480","902039","Australia/Oceania","5467","225510","13","4","1","58"
"Grenada","161","","1","","160","","0","","1425","9","28684","253904","112972","North America","702","112972","4",NA,NA,""
